#-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#     01          02          03          04          05          06          07          08          09          10          11          12          13          14          15
#
#     Y           U           V           W           T           UU          VV          WW          UV          UW          VW          TT          UT          VT          WT
#
#                            ZERO        ZERO                                                                    ZERO        ZERO                                            ZERO
#-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1.8406E-03  1.3923E-02  4.4070E-09 -1.4678E-05  9.8909E-01  2.4833E-05  6.2090E-09  6.9877E-06 -9.2817E-08 -1.2501E-07  1.6523E-10  1.8331E-05 -1.9375E-05  7.0694E-08  5.8580E-08
  5.6660E-03  4.2726E-02  2.0209E-08 -4.5144E-05  9.6642E-01  2.3278E-04  1.3569E-07  5.2011E-05 -1.5922E-06 -1.0779E-06  2.3387E-09  1.7372E-04 -1.8487E-04  1.2026E-06  5.0074E-07
  9.7905E-03  7.3602E-02  4.7580E-08 -7.7732E-05  9.4201E-01  6.8969E-04  8.3740E-07  1.3051E-04 -7.7726E-06 -2.9927E-06  9.2871E-09  5.1743E-04 -5.5358E-04  5.9538E-06  1.3925E-06
  1.4236E-02  1.0655E-01  7.7302E-08 -1.1214E-04  9.1580E-01  1.4371E-03  2.8933E-06  2.3339E-04 -2.3270E-05 -5.8504E-06  2.1591E-08  1.0850E-03 -1.1652E-03  1.8116E-05  2.7663E-06
  1.9026E-02  1.4144E-01  8.8918E-08 -1.4774E-04  8.8781E-01  2.4953E-03  7.3172E-06  3.5249E-04 -5.3404E-05 -9.5349E-06  3.6495E-08  1.9038E-03 -2.0458E-03  4.2381E-05  4.6804E-06
  2.4185E-02  1.7799E-01  4.8029E-08 -1.8361E-04  8.5815E-01  3.8425E-03  1.5246E-05  4.8110E-04 -1.0295E-04 -1.3815E-05  4.9102E-08  2.9818E-03 -3.1921E-03  8.3579E-05  7.2209E-06
  2.9739E-02  2.1570E-01 -9.3276E-08 -2.1852E-04  8.2706E-01  5.4042E-03  2.7845E-05  6.1447E-04 -1.7468E-04 -1.8398E-05  5.7812E-08  4.2988E-03 -4.5604E-03  1.4559E-04  1.0474E-05
  3.5717E-02  2.5395E-01 -3.9770E-07 -2.5103E-04  7.9488E-01  7.0587E-03  4.6233E-05  7.4971E-04 -2.6832E-04 -2.3036E-05  7.2842E-08  5.8028E-03 -6.0662E-03  2.3027E-04  1.4467E-05
  4.2147E-02  2.9201E-01 -9.5212E-07 -2.7940E-04  7.6209E-01  8.6612E-03  7.1421E-05  8.8523E-04 -3.8027E-04 -2.7605E-05  1.2436E-07  7.4142E-03 -7.5969E-03  3.3688E-04  1.9133E-05
  4.9061E-02  3.2912E-01 -1.8791E-06 -3.0124E-04  7.2921E-01  1.0075E-02  1.0427E-04  1.0199E-03 -5.0436E-04 -3.2113E-05  2.6372E-07  9.0378E-03 -9.0337E-03  4.6205E-04  2.4346E-05
